Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
Core Networking - Multicast Listener Report v2 (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Packet Too Big (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Parameter Problem (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Router Advertisement (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,fe80::/64,Local subnet, ff02::1, fe80::/64,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Router Solicitation (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Local subnet, ff02::2, fe80::/64,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Teredo (UDP-Out),Core Networking,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Core Networking - Time Exceeded (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out),Core Networking Diagnostics,Domain,No,Allow,No,System,Any,Any,ICMPv4,Any,Any,Any,Any,Any,None,Any,
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out),Core Networking Diagnostics,Private, Public,No,Allow,No,System,Any,Local subnet,ICMPv4,Any,Any,Any,Any,Any,None,Any,
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out),Core Networking Diagnostics,Domain,No,Allow,No,System,Any,Any,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out),Core Networking Diagnostics,Private, Public,No,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Desktop App Web Viewer,Desktop App Web Viewer,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Win32WebViewHost_cw5n1h2txyewy,
Connected User Experiences and Telemetry,DiagTrack,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,443,Any,Any,Any,None,Any,
Distributed Transaction Coordinator (TCP-Out),Distributed Transaction Coordinator,Domain,No,Allow,No,%SystemRoot%\system32\msdtc.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Distributed Transaction Coordinator (TCP-Out),Distributed Transaction Coordinator,Private, Public,No,Allow,No,%SystemRoot%\system32\msdtc.exe,Any,Local subnet,TCP,Any,Any,Any,Any,Any,None,Any,
Email and accounts,Email and accounts,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.AccountsControl_cw5n1h2txyewy,
